Time,Magnitude,Place,Latitude,Longitude,Depth
2023-09-04 05:26:08.839,4.8,"11 km SSW of Özdere, Turkey",37.9198,27.0744,10.0
2023-08-29 04:58:15.305,4.8,,38.9659,32.9248,7.489
2023-08-27 03:09:43.247,4.4,"9 km NNW of Émponas, Greece",36.3079,27.8301,69.004
2023-08-24 05:35:24.510,4.8,,38.2125,38.1815,10.0
2023-08-23 08:19:30.701,4.3,eastern Turkey,39.2741,40.3563,10.0
2023-08-22 10:17:34.400,4.7,Central Turkey,38.4244,36.6825,10.457
2023-08-21 15:45:57.264,4.3,"Dodecanese Islands, Greece",36.7359,28.1337,73.187
2023-08-20 07:05:54.282,4.1,"6 km SW of Göksun, Turkey",37.985,36.432,9.431
2023-08-16 14:36:59.603,4.7,"10 km NNE of Aladağ, Turkey",37.6374,35.4222,10.0
2023-08-12 13:39:16.290,4.7,eastern Turkey,38.2878,38.2075,10.0
2023-08-12 09:42:49.454,3.3,"18 km SE of Saimbeyli, Turkey",37.8939,36.2631,3.78
2023-08-11 16:24:02.322,3.3,"12 km SW of Musabeyli, Turkey",36.8127,36.8093,10.0
2023-08-11 01:55:29.268,4.2,"6 km NW of Karlıova, Turkey",39.3387,40.9565,10.0
2023-08-10 17:48:01.337,5.2,"3 km SSW of Yeşilyurt, Turkey",38.2644,38.2251,10.0
2023-08-10 12:25:54.259,4.3,"12 km N of Hani, Turkey",38.5196,40.3602,10.0
2023-08-09 17:01:46.862,4.2,"19 km NW of Sincik, Turkey",38.1363,38.4248,10.0
2023-08-04 06:18:33.592,4.1,"52 km SSW of Side, Turkey",36.3607,31.0965,80.257
2023-08-03 04:56:18.289,4.2,eastern Turkey,38.1714,38.6561,6.977
2023-08-01 18:37:05.398,4.1,"19 km SSW of Şenkaya, Turkey",40.4059,42.2324,10.0
2023-08-01 15:06:52.523,4.8,"28 km NNE of Konya, Turkey",38.0881,32.6486,12.017
2023-07-25 07:57:56.125,4.4,"23 km SSE of Feke, Turkey",37.6148,36.0103,10.0
2023-07-25 05:44:51.283,5.5,"18 km NE of Kozan, Turkey",37.5794,35.9482,13.116
2023-07-23 10:48:38.954,4.1,Central Turkey,38.1644,37.162,10.0
2023-07-22 10:37:12.275,4.2,"22 km SE of Saimbeyli, Turkey",37.8683,36.2978,10.0
2023-07-22 02:43:34.931,3.5,eastern Turkey,38.3473,38.0806,10.0
2023-07-11 09:52:18.835,3.4,"Aegean, Greece",39.3804,26.2468,10.0
2023-07-09 02:27:36.163,3.5,Central Turkey,38.0,36.3643,5.736
2023-07-01 01:00:07.846,4.3,Central Turkey,38.0471,36.572,0.876
2023-06-29 13:34:44.559,4.2,"7 km ENE of Ekinözü, Turkey",38.0788,37.2715,10.0
2023-06-29 05:28:08.743,4.3,"17 km WSW of Göksun, Turkey",37.9845,36.298,10.0
2023-06-27 12:40:08.287,4.2,"11 km WNW of Sivrice, Turkey",38.5003,39.1965,9.959
2023-06-26 06:41:30.222,4.3,"17 km SW of Çukurca, Turkey",37.1215,43.492,10.0
2023-06-22 05:21:04.184,4.0,"16 km NE of Çelikhan, Turkey",38.1122,38.3939,10.0
2023-06-19 18:31:31.446,4.4,Central Turkey,37.9955,36.5699,10.0
2023-06-19 10:15:39.956,4.2,"46 km ENE of Özalp, Turkey",38.8398,44.4737,10.0
2023-06-19 00:30:18.898,4.1,"14 km ENE of Doğanşehir, Turkey",38.1399,38.0173,10.0
2023-06-18 20:59:23.441,4.2,"22 km SE of Saimbeyli, Turkey",37.841,36.2621,10.0
2023-06-18 15:36:29.912,4.4,"17 km N of Sincik, Turkey",38.19,38.5957,10.0
2023-06-17 22:02:56.115,4.3,"16 km SE of Çağlayancerit, Turkey",37.6295,37.4085,10.0
2023-06-17 12:30:44.731,4.5,"9 km S of Khowy, Iran",38.4669,44.9405,10.0
2023-06-16 09:54:55.096,4.3,"27 km ESE of Adilcevaz, Turkey",38.667,42.996,16.035
2023-06-11 07:41:05.327,4.3,"21 km NNW of Ilıca, Turkey",40.1178,40.985,10.0
2023-06-11 04:42:01.972,4.0,"10 km SW of Kuşadası, Turkey",37.7894,27.186,10.0
2023-06-08 03:38:42.693,4.3,"22 km N of Andırın, Turkey",37.7829,36.3231,10.0
2023-06-05 16:40:47.905,4.5,Central Turkey,37.9672,36.5784,10.496
2023-06-03 15:07:28.924,4.1,Central Turkey,39.4591,37.0948,10.0
2023-05-25 15:02:06.431,4.0,"6 km NNW of Sincik, Turkey",38.0916,38.5909,10.0
2023-05-23 01:12:47.168,4.0,"17 km WSW of Göksun, Turkey",37.9429,36.3225,10.0
2023-05-22 16:42:58.241,4.3,"18 km SE of Saimbeyli, Turkey",37.8904,36.2608,10.0
2023-05-22 16:06:58.948,4.4,"16 km ESE of Saimbeyli, Turkey",37.9346,36.2708,5.385
2023-05-22 04:51:19.153,4.1,"39 km SSW of Side, Turkey",36.4601,31.1573,74.002
2023-05-21 20:16:21.945,4.1,"16 km ESE of Saimbeyli, Turkey",37.9176,36.2543,10.0
2023-05-21 12:46:13.460,4.9,"15 km ESE of Saimbeyli, Turkey",37.9246,36.2523,5.539
2023-05-19 08:23:37.141,4.0,Central Turkey,38.3533,37.7687,10.0
2023-05-14 12:06:08.766,4.1,"12 km SE of Saimbeyli, Turkey",37.9018,36.1797,7.024
2023-05-12 08:36:25.640,4.2,Central Turkey,37.8832,36.231,4.268
2023-05-12 08:33:21.858,4.5,"18 km SE of Saimbeyli, Turkey",37.8784,36.2491,2.866
2023-05-09 23:14:51.146,4.1,"11 km NW of Kulu, Turkey",39.1821,32.9989,10.106
2023-05-09 15:22:07.472,4.3,"30 km WSW of Ölüdeniz, Turkey",36.4169,28.8622,25.042
2023-05-08 20:20:34.789,4.5,eastern Turkey,38.0217,38.4005,10.0
2023-05-07 08:36:08.971,4.7,"0 km SSE of Serinyol, Turkey",36.3545,36.2183,10.0
2023-05-06 12:29:27.020,4.2,Central Turkey,37.8443,36.564,10.0
2023-05-05 14:52:29.643,4.8,"18 km SW of Göksun, Turkey",37.9221,36.3313,9.387
2023-05-04 01:50:01.109,4.2,"29 km NNW of Eceabat, Turkey",40.4326,26.2194,10.0
2023-05-03 17:22:16.031,4.2,"12 km ENE of Göksun, Turkey",38.0547,36.6366,7.793
2023-05-03 17:16:38.697,4.9,"K. Maras, Turkey",38.0541,36.5563,11.5
2023-05-03 06:20:54.241,4.4,"18 km E of Aladağ, Turkey",37.5767,35.6059,10.0
2023-05-01 21:36:01.096,4.2,eastern Turkey,38.1582,38.5532,10.0
2023-04-30 13:01:28.103,4.2,"22 km W of Akçadağ, Turkey",38.3303,37.7144,10.0
2023-04-29 01:55:48.680,4.6,"10 km NNW of Göksun, Turkey",38.1021,36.4431,10.0
2023-04-28 05:15:44.377,4.1,"3 km WSW of Büyükçat, Turkey",36.1028,36.0439,10.0
2023-04-27 15:33:45.536,4.2,Central Turkey,38.7636,37.134,7.476
2023-04-26 20:00:34.782,5.1,,36.4294,26.3159,116.496
2023-04-26 15:31:05.471,4.3,"5 km WSW of Göksun, Turkey",38.0104,36.4372,6.0
2023-04-26 04:48:32.480,4.2,"17 km SSW of Göksun, Turkey",37.8831,36.4031,10.0
2023-04-25 22:14:08.550,4.0,"11 km ESE of Ekinözü, Turkey",38.0275,37.3069,5.0
2023-04-23 03:40:07.076,4.1,Western Turkey,37.0767,28.4647,10.0
2023-04-22 20:38:19.755,4.2,Western Turkey,37.065,28.4103,10.0
2023-04-20 22:14:42.413,2.6,"6 km W of Batikent, Turkey",39.9668,32.6543,8.353
2023-04-19 22:44:08.665,4.4,"13 km WSW of Sivrice, Turkey",38.4076,39.161,12.718
2023-04-17 06:39:08.540,4.0,,38.1965,38.6816,8.37
2023-04-16 22:55:57.458,4.0,"22 km ENE of Göksun, Turkey",38.0743,36.7493,10.0
2023-04-15 21:51:02.286,4.1,Central Turkey,37.6037,37.1654,10.0
2023-04-15 09:37:21.889,4.3,,37.9156,36.2978,2.813
2023-04-13 13:27:00.218,4.4,"10 km NNW of Sincik, Turkey",38.1221,38.5573,10.0
2023-04-11 10:30:49.674,4.3,"36 km ESE of Doğubayazıt, Turkey",39.4205,44.48,10.0
2023-04-11 08:17:42.872,4.3,"14 km SSW of Göksun, Turkey",37.897,36.4435,10.0
2023-04-10 22:45:09.830,4.0,"15 km WSW of Pazarcık, Turkey",37.4535,37.1254,15.554
2023-04-08 00:26:44.575,4.1,"16 km SSW of Afşin, Turkey",38.1056,36.8693,5.63
2023-04-07 08:29:38.709,4.5,"21 km NNW of Bingöl, Turkey",39.076,40.4393,10.0
2023-04-06 00:57:44.196,4.2,"13 km NNE of Aladağ, Turkey",37.6604,35.4674,10.149
2023-04-04 08:54:53.818,4.3,"12 km SSE of Kızılkaya, Turkey",37.1977,30.48,10.0
2023-04-03 12:44:15.375,4.1,,38.0591,37.7701,10.0
2023-04-03 10:52:56.171,4.3,"11 km SW of Doğanşehir, Turkey",38.013,37.7709,10.0
2023-04-03 03:45:49.031,4.4,"18 km ESE of Saimbeyli, Turkey",37.9347,36.2862,5.0
2023-04-01 21:24:39.112,4.3,"16 km NNW of Ilgaz, Turkey",41.0553,33.5349,6.314
2023-04-01 12:40:52.207,4.3,,36.0466,35.9161,10.0
2023-04-01 12:34:36.956,4.3,,36.0662,35.8128,10.0
2023-03-31 10:56:57.370,4.3,"19 km SSE of Hasanbeyli, Turkey",36.9811,36.661,10.143
2023-03-29 21:44:22.024,4.3,"26 km S of Göksun, Turkey",37.786,36.5257,10.0
2023-03-29 20:08:37.009,4.1,Central Turkey,37.3405,36.8426,3.865
2023-03-29 16:47:02.108,4.5,"17 km ESE of Saimbeyli, Turkey",37.9287,36.2781,3.848
2023-03-29 13:58:39.296,4.4,"13 km SE of Akçadağ, Turkey",38.2368,38.0593,5.513
2023-03-28 10:55:16.146,4.3,"11 km NNW of Andırın, Turkey",37.6759,36.3106,16.767
2023-03-27 14:35:16.141,4.4,"K. Maras, Turkey",38.0816,36.5466,8.93
2023-03-25 06:33:40.469,4.3,"12 km SE of Saimbeyli, Turkey",37.9067,36.189,10.0
2023-03-25 04:39:34.155,4.5,"10 km WSW of Ekinözü, Turkey",38.039,37.0762,10.0
2023-03-24 13:10:35.229,4.4,"7 km E of Nurhak, Turkey",37.9624,37.5237,12.756
2023-03-24 03:16:56.125,5.6,"13 km SW of Khowy, Iran",38.4614,44.8505,11.0
2023-03-24 00:39:53.695,4.6,"K. Maras, Turkey",37.9593,36.3728,10.0
2023-03-23 10:04:57.411,4.4,"2 km W of Göksun, Turkey",38.0186,36.4699,10.0
2023-03-23 09:19:53.459,5.3,"6 km W of Göksun, Turkey",38.0109,36.4273,10.0
2023-03-23 05:45:22.216,4.2,"18 km SE of Göksun, Turkey",37.8867,36.6199,7.606
2023-03-22 19:43:25.380,4.3,"15 km E of Doğanşehir, Turkey",38.0772,38.0427,10.0
2023-03-20 15:40:36.190,4.0,"21 km N of Nurdağı, Turkey",37.3664,36.7383,10.0
2023-03-20 09:57:07.933,4.2,"0 km ESE of Ekinözü, Turkey",38.0581,37.1965,10.0
2023-03-19 12:56:45.888,4.3,"1 km WSW of Göksun, Turkey",38.0182,36.4817,9.438
2023-03-19 12:54:24.814,4.3,,38.0441,36.4908,9.74
2023-03-18 09:31:05.651,4.1,Central Turkey,37.1129,36.3047,7.423
2023-03-18 09:25:31.128,4.4,"23 km SSW of Göksun, Turkey",37.8325,36.3765,2.786
2023-03-18 05:14:29.880,4.6,"5 km W of Göksun, Turkey",38.0124,36.4342,7.446
2023-03-18 01:40:06.005,4.1,"29 km SSE of Göksun, Turkey",37.7982,36.6794,7.657
2023-03-17 01:41:13.745,4.4,"7 km E of Göksun, Turkey",38.0241,36.5823,5.0
2023-03-16 19:59:13.596,4.3,"30 km SE of Kızkalesi, Turkey",36.2558,34.3695,10.0
2023-03-16 10:55:07.845,4.8,,40.7432,31.5028,10.0
2023-03-15 03:29:56.023,4.2,"14 km W of Hasanbeyli, Turkey",37.1468,36.3894,12.301
2023-03-14 14:49:49.524,4.6,Central Turkey,37.7899,37.3899,10.0
2023-03-14 06:47:34.436,4.6,"20 km S of Afşin, Turkey",38.0681,36.9544,3.289
2023-03-14 02:27:52.019,3.9,eastern Turkey,38.1128,38.5365,8.388
2023-03-13 02:23:14.787,4.3,"4 km NNE of Aşağı Karafakılı, Turkey",36.8216,36.5749,8.342
2023-03-13 02:13:53.408,4.4,,38.1179,38.6785,10.0
2023-03-13 01:34:30.468,4.6,"11 km NE of Sincik, Turkey",38.1188,38.6904,5.474
2023-03-12 12:31:22.559,4.3,"17 km WSW of Göksun, Turkey",37.9391,36.329,10.0
2023-03-11 19:35:16.225,4.3,"11 km SW of Ceyhan, Turkey",36.9506,35.7349,3.736
2023-03-11 11:32:10.713,4.3,"4 km NNW of Sincik, Turkey",38.078,38.5946,10.648
2023-03-10 07:58:34.775,4.1,"5 km ENE of Nurhak, Turkey",37.9912,37.4971,8.969
2023-03-10 02:28:15.208,4.8,"10 km WNW of Hac?lar, Turkey",38.6968,35.3499,6.0
2023-03-09 23:34:17.926,4.0,"14 km W of Sincik, Turkey",38.0554,38.4498,5.379
2023-03-09 18:55:28.646,4.3,"14 km W of Sincik, Turkey",38.0443,38.4499,10.0
2023-03-07 14:18:21.324,4.2,Central Turkey,38.8412,37.3634,10.0
2023-03-07 11:53:38.620,4.1,"11 km NW of Hac?lar, Turkey",38.7072,35.3412,3.922
2023-03-07 11:47:27.545,4.7,"15 km W of Hac?lar, Turkey",38.6363,35.2749,5.0
2023-03-07 09:40:12.279,4.4,"24 km ENE of And?r?n, Turkey",37.6641,36.608,8.301
2023-03-06 22:14:57.396,4.0,"2 km NNE of Uzunba?, Turkey",36.1589,36.0428,10.0
2023-03-06 13:03:25.671,4.0,"1 km SE of Elbistan, Turkey",38.197,37.2109,14.422
2023-03-06 11:02:56.996,4.0,"5 km W of Toygarl?, Turkey",36.2202,36.0072,10.0
2023-03-06 08:14:16.810,4.3,"4 km SE of Gümü?göze, Turkey",36.1213,36.1681,10.0
2023-03-06 05:51:08.086,4.1,"15 km N of Tut, Turkey",37.9373,37.9093,4.878
2023-03-06 02:16:02.969,4.0,"4 km N of Uzunba?, Turkey",36.1816,36.0375,10.0
2023-03-05 20:49:46.490,4.8,"7 km SW of Dörtyol, Turkey",36.7867,36.1842,10.0
2023-03-04 05:27:34.779,4.2,"2 km WNW of Çelikhan, Turkey",38.0299,38.2134,2.86
2023-03-03 02:53:43.065,5.0,"26 km SE of Göksun, Turkey",37.8395,36.7004,7.12
2023-03-02 13:35:54.000,3.4,"13 km WSW of Ye?ilyurt, Turkey",38.2315,38.1119,6.914
2023-03-01 16:37:59.849,4.4,"31 km ENE of Nurda??, Turkey",37.2659,37.0676,9.357
2023-03-01 10:52:36.385,4.2,"21 km WNW of Metsavan, Armenia",41.3069,44.0089,10.051
2023-03-01 07:20:23.043,4.7,"7 km W of Anayazi, Turkey",36.3065,36.097,10.0
2023-03-01 04:15:31.399,4.3,"4 km SW of Tut, Turkey",37.7611,37.8869,10.0
2023-03-01 02:23:22.581,4.1,Central Turkey,37.9019,36.8966,10.0
2023-02-28 23:32:10.728,4.1,"29 km ENE of Nurda??, Turkey",37.2808,37.0318,11.969
2023-02-28 18:51:44.658,4.1,"24 km ENE of Nurda??, Turkey",37.2588,36.992,13.18
2023-02-28 15:16:39.891,4.0,"8 km WSW of Kayseri, Turkey",38.714,35.3935,10.0
2023-02-28 14:49:17.330,3.9,"24 km ESE of Göksun, Turkey",37.9073,36.7306,10.0
2023-02-28 14:39:54.956,4.4,Central Turkey,37.7893,36.7056,10.0
2023-02-28 12:42:16.530,4.3,"17 km SSE of And?r?n, Turkey",37.4289,36.4287,13.271
2023-02-28 02:19:00.155,4.2,"7 km SE of Ye?ilyurt, Turkey",38.2434,38.2911,10.0
2023-02-27 09:04:51.865,5.2,"9 km SSE of Ye?ilyurt, Turkey",38.2144,38.2773,10.0
2023-02-27 06:29:04.414,4.4,"30 km E of Karata?, Turkey",36.6204,35.704,10.0
2023-02-27 06:19:48.628,4.2,"19 km SW of Ekinözü, Turkey",37.9189,37.0464,8.266
2023-02-27 02:51:21.400,4.7,"10 km NNW of Gölba??, Turkey",37.8722,37.5853,10.0
2023-02-26 04:37:41.209,4.3,"8 km WSW of Ekinözü, Turkey",38.0353,37.0903,10.0
2023-02-26 02:26:31.012,4.5,,36.0535,36.012,10.0
2023-02-25 12:41:13.746,4.4,,38.0367,37.067,6.703
